Date,Resting Heart Rate,Normal Min. Heart Rate,Normal Max. Heart Rate,Normal Calories Burned,Normal Minutes ,Fat Burn Min. Heart Rate,Fat Burn Max. Heart Rate,Fat Burn Calories Burned,Fat Burn Minutes ,Cardio Min. Heart Rate,Cardio Max. Heart Rate,Cardio Calories Burned,Cardio Minutes ,Peak Min. Heart Rate,Peak Max. Heart Rate,Peak Calories Burned,Peak Minutes 
2017-10-01,64,30,91,2476.916,1315,91,127,461.2075,81,127,154,0,0,154,220,0,0
2017-10-02,65,30,91,2550.47,1322,91,127,385.8595,93,127,154,0,0,154,220,0,0
2017-10-03,63,30,91,2493.062,1315,91,127,280.0135,50,127,154,0,0,154,220,0,0
2017-10-04,62,30,91,2545.088,1365,91,127,265.811,48,127,154,0,0,154,220,0,0
2017-10-05,62,30,91,2559.2905,1324,91,127,392.7365,85,127,154,0,0,154,220,0,0
2017-10-06,63,30,91,2316.951,1323,91,127,627.601,96,127,154,0,0,154,220,0,0
2017-10-07,63,30,91,2501.2845,1335,91,127,281.06,74,127,154,0,0,154,220,0,0
2017-10-08,64,30,91,2302.898,1223,91,127,870.389,155,127,154,47.242,3,154,220,0,0
2017-10-09,65,30,91,2270.1575,1234,91,127,246.974,48,127,154,0,0,154,220,0,0
2017-10-10,66,30,91,2501.2845,1323,91,127,495.742,94,127,154,0,0,154,220,0,0
2017-10-11,65,30,91,2388.113,1305,91,127,544.0305,106,127,154,0,0,154,220,0,0
2017-10-12,64,30,91,2679.937,1350,91,127,418.899,65,127,154,0,0,154,220,0,0
2017-10-13,64,30,91,2623.5755,1276,91,127,561.3725,91,127,154,0,0,154,220,0,0
2017-10-14,67,30,91,1713.569,894,91,127,2286.6025,504,127,154,73.853,5,154,220,0,0
2017-10-15,66,30,91,2390.505,1221,91,127,753.6295,217,127,154,0,0,154,220,0,0
2017-10-16,65,30,91,2556.3005,1346,91,127,345.046,52,127,154,0,0,154,220,0,0
2017-10-17,64,30,91,2464.059,1355,91,127,177.307,34,127,154,0,0,154,220,0,0
2017-10-18,63,30,91,2506.816,1351,91,127,341.3085,69,127,154,0,0,154,220,0,0
2017-10-19,63,30,91,2591.134,1324,91,127,399.165,80,127,154,0,0,154,220,0,0
2017-10-20,63,30,91,2478.71,1349,91,127,495.2935,73,127,154,0,0,154,220,0,0
2017-10-21,62,30,91,2559.44,1326,91,127,164.749,38,127,154,0,0,154,220,0,0
2017-10-22,64,30,91,2507.414,1299,91,127,497.9845,104,127,154,0,0,154,220,0,0
2017-10-23,63,30,91,2262.9815,1186,91,127,1178.06,226,127,154,0,0,154,220,0,0
2017-10-24,64,30,91,2534.025,1355,91,127,308.867,61,127,154,0,0,154,220,0,0
2017-10-25,64,30,91,2281.2205,1198,91,127,1175.2195,204,127,154,42.458,3,154,220,0,0
2017-10-26,65,30,91,2402.0165,1260,91,127,785.174,153,127,154,0,0,154,220,0,0
2017-10-27,66,30,91,2320.6885,1252,91,127,790.556,140,127,154,0,0,154,220,0,0
2017-10-28,67,30,91,2514.7395,1329,91,127,535.9575,104,127,154,65.182,4,154,220,0,0
2017-10-29,67,30,91,2279.277,1215,91,127,1020.786,150,127,154,127.972,8,154,220,18.837,1
2017-10-30,69,30,91,2477.514,1397,91,127,147.2575,30,127,154,12.259,1,154,220,0,0
2017-10-31,67,30,91,2249.676,1255,91,127,744.809,147,127,154,13.754,1,154,220,0,0
2017-11-01,66,30,91,2045.758,1032,91,127,1580.813,318,127,154,0,0,154,220,0,0
2017-11-02,64,30,91,2445.521,1370,91,127,206.011,34,127,154,0,0,154,220,0,0
2017-11-03,64,30,91,2457.182,1335,91,127,529.6785,75,127,154,15.249,1,154,220,0,0
2017-11-04,63,30,91,2703.7075,1346,91,127,379.73,54,127,154,0,0,154,220,0,0
2017-11-05,63,30,91,2660.203,1317,91,127,536.107,99,127,154,0,0,154,220,0,0
2017-11-06,64,30,91,2465.7035,1297,91,127,750.6395,114,127,154,0,0,154,220,0,0
2017-11-07,62,30,91,2417.8635,1329,91,127,513.383,85,127,154,0,0,154,220,0,0
2017-11-08,63,30,91,2526.849,1313,91,127,733.447,109,127,154,13.754,1,154,220,0,0
2017-11-09,63,30,91,2498.145,1340,91,127,461.5065,65,127,154,0,0,154,220,0,0
2017-11-10,63,30,91,2721.6475,1340,91,127,328.1525,55,127,154,0,0,154,220,0,0
2017-11-11,64,30,91,2768.8895,1351,91,127,316.641,63,127,154,0,0,154,220,0,0
2017-11-12,66,30,91,2777.411,1382,91,127,177.606,37,127,154,0,0,154,220,0,0
2017-11-13,66,30,91,2094.196,1195,91,127,979.6735,208,127,154,0,0,154,220,0,0
2017-11-14,68,30,91,2480.9525,1397,91,127,73.853,15,127,154,0,0,154,220,0,0
2017-11-15,66,30,91,2553.0115,1352,91,127,351.026,75,127,154,0,0,154,220,0,0
2017-11-16,68,30,91,2375.555,1301,91,127,562.8675,106,127,154,0,0,154,220,0,0
2017-11-17,67,30,91,2266.121,1137,91,127,1776.06,271,127,154,119.6,8,154,220,0,0
2017-11-18,66,30,91,2235.324,1233,91,127,1018.992,165,127,154,0,0,154,220,0,0
2017-11-19,67,30,91,2459.873,1346,91,127,249.5155,87,127,154,0,0,154,220,0,0
2017-11-20,69,30,91,2347.2995,1287,91,127,667.2185,135,127,154,0,0,154,220,0,0
2017-11-21,71,30,91,2372.565,1171,91,127,629.096,157,127,154,0,0,154,220,0,0
2017-11-22,70,30,91,1905.826,1013,91,127,694.278,119,127,154,0,0,154,220,0,0
2017-11-23,70,30,91,1331.2975,668,91,127,383.916,57,127,154,0,0,154,220,0,0
2017-11-24,70,30,91,1594.866,714,91,127,549.7115,91,127,154,13.455,1,154,220,0,0
2017-11-25,69,30,91,1621.9255,785,91,127,600.093,104,127,154,0,0,154,220,0,0
2017-11-26,69,30,91,1259.986,564,91,127,1287.0455,157,127,154,0,0,154,220,0,0
2017-11-27,69,30,91,1227.5445,566,91,127,623.8635,138,127,154,0,0,154,220,0,0
2017-11-28,69,30,91,1994.4795,1137,91,127,844.2265,160,127,154,13.455,1,154,220,0,0
2017-11-29,69,30,91,2364.6415,1341,91,127,407.3875,66,127,154,73.853,5,154,220,0,0
2017-11-30,68,30,91,2446.717,1318,91,127,552.552,109,127,154,0,0,154,220,0,0
2017-12-01,69,30,91,2312.6155,1220,91,127,1008.3775,200,127,154,0,0,154,220,0,0
2017-12-02,69,30,91,2418.312,1163,91,127,942.448,189,127,154,86.71,6,154,220,0,0
2017-12-03,68,30,91,2227.9985,1101,91,127,549.562,136,127,154,0,0,154,220,0,0
2017-12-04,68,30,91,580.06,325,91,127,128.4205,18,127,154,0,0,154,220,0,0
