HEART RATE DATE/TIME,VALUE
2017-11-08 00:00:02,66
2017-11-08 00:00:07,67
2017-11-08 00:00:17,66
2017-11-08 00:00:22,65
2017-11-08 00:00:27,66
2017-11-08 00:00:42,66
2017-11-08 00:00:47,65
2017-11-08 00:00:52,66
2017-11-08 00:00:57,65
2017-11-08 00:01:12,66
2017-11-08 00:01:17,67
2017-11-08 00:01:27,65
2017-11-08 00:01:32,66
2017-11-08 00:01:42,64
2017-11-08 00:01:49,65
2017-11-08 00:01:54,66
2017-11-08 00:02:09,65
2017-11-08 00:02:14,64
2017-11-08 00:02:19,65
2017-11-08 00:02:29,66
2017-11-08 00:02:39,68
2017-11-08 00:02:44,66
2017-11-08 00:02:49,64
2017-11-08 00:02:54,66
2017-11-08 00:03:09,66
2017-11-08 00:03:19,65
2017-11-08 00:03:29,64
2017-11-08 00:03:39,65
2017-11-08 00:03:44,66
2017-11-08 00:03:54,67
2017-11-08 00:04:04,64
2017-11-08 00:04:14,65
2017-11-08 00:04:24,66
2017-11-08 00:04:29,67
2017-11-08 00:04:34,66
2017-11-08 00:04:39,65
2017-11-08 00:04:44,64
2017-11-08 00:04:54,65
2017-11-08 00:04:59,66
2017-11-08 00:05:04,64
2017-11-08 00:05:09,65
2017-11-08 00:05:15,66
2017-11-08 00:05:30,66
2017-11-08 00:05:40,67
2017-11-08 00:05:50,66
2017-11-08 00:06:05,67
2017-11-08 00:06:15,66
2017-11-08 00:06:25,67
2017-11-08 00:06:30,66
2017-11-08 00:06:40,67
2017-11-08 00:06:50,66
2017-11-08 00:07:05,64
2017-11-08 00:07:10,65
2017-11-08 00:07:20,66
2017-11-08 00:07:30,67
2017-11-08 00:07:40,66
2017-11-08 00:07:50,65
2017-11-08 00:07:55,66
2017-11-08 00:08:00,65
2017-11-08 00:08:05,66
2017-11-08 00:08:10,68
2017-11-08 00:08:15,66
2017-11-08 00:08:20,65
2017-11-08 00:08:25,67
2017-11-08 00:08:30,65
2017-11-08 00:08:35,66
2017-11-08 00:08:50,67
2017-11-08 00:08:55,66
2017-11-08 00:09:02,66
2017-11-08 00:09:17,66
2017-11-08 00:09:22,69
2017-11-08 00:09:27,64
2017-11-08 00:09:32,63
2017-11-08 00:09:37,66
2017-11-08 00:09:47,67
2017-11-08 00:09:52,66
2017-11-08 00:09:57,64
2017-11-08 00:10:02,65
2017-11-08 00:10:07,67
2017-11-08 00:10:12,68
2017-11-08 00:10:17,66
2017-11-08 00:10:22,65
2017-11-08 00:10:27,66
2017-11-08 00:10:32,73
2017-11-08 00:10:37,72
2017-11-08 00:10:42,72
2017-11-08 00:10:57,77
2017-11-08 00:11:02,85
2017-11-08 00:11:07,79
2017-11-08 00:11:12,74
2017-11-08 00:11:22,65
2017-11-08 00:11:27,64
2017-11-08 00:11:32,66
2017-11-08 00:11:39,71
2017-11-08 00:11:44,67
2017-11-08 00:11:49,62
2017-11-08 00:11:54,61
2017-11-08 00:11:59,62
2017-11-08 00:12:04,61
2017-11-08 00:12:09,60
2017-11-08 00:12:14,61
2017-11-08 00:12:19,63
2017-11-08 00:12:24,65
2017-11-08 00:12:29,71
2017-11-08 00:12:34,67
2017-11-08 00:12:39,63
2017-11-08 00:12:44,71
2017-11-08 00:12:49,74
2017-11-08 00:12:54,73
2017-11-08 00:12:59,74
2017-11-08 00:13:04,68
2017-11-08 00:13:09,64
2017-11-08 00:13:14,64
2017-11-08 00:13:19,69
2017-11-08 00:13:34,63
2017-11-08 00:13:39,65
2017-11-08 00:13:44,70
2017-11-08 00:13:49,74
2017-11-08 00:13:54,72
2017-11-08 00:14:00,66
2017-11-08 00:14:05,62
2017-11-08 00:14:15,63
2017-11-08 00:14:20,65
2017-11-08 00:14:25,68
2017-11-08 00:14:30,61
2017-11-08 00:14:40,63
2017-11-08 00:14:55,66
2017-11-08 00:15:00,64
2017-11-08 00:15:05,63
2017-11-08 00:15:10,64
2017-11-08 00:15:15,65
2017-11-08 00:15:25,64
2017-11-08 00:15:30,63
2017-11-08 00:15:35,64
2017-11-08 00:15:45,66
2017-11-08 00:15:50,65
2017-11-08 00:15:55,64
2017-11-08 00:16:05,71
2017-11-08 00:16:10,72
2017-11-08 00:16:15,65
2017-11-08 00:16:20,62
2017-11-08 00:16:25,64
2017-11-08 00:16:30,69
2017-11-08 00:16:35,73
2017-11-08 00:16:40,74
2017-11-08 00:16:45,69
2017-11-08 00:16:52,66
2017-11-08 00:16:57,65
2017-11-08 00:17:12,72
2017-11-08 00:17:17,68
2017-11-08 00:17:22,65
2017-11-08 00:17:27,63
2017-11-08 00:17:32,60
2017-11-08 00:17:37,59
2017-11-08 00:17:42,60
2017-11-08 00:17:52,64
2017-11-08 00:17:57,67
2017-11-08 00:18:02,62
2017-11-08 00:18:07,59
2017-11-08 00:18:22,62
2017-11-08 00:18:27,57
2017-11-08 00:18:32,56
2017-11-08 00:18:37,61
2017-11-08 00:18:42,62
2017-11-08 00:18:52,65
2017-11-08 00:18:57,69
2017-11-08 00:19:02,63
2017-11-08 00:19:07,61
2017-11-08 00:19:12,60
2017-11-08 00:19:17,59
2017-11-08 00:19:22,60
2017-11-08 00:19:27,61
2017-11-08 00:19:32,62
2017-11-08 00:19:38,62
2017-11-08 00:19:43,60
2017-11-08 00:19:48,63
2017-11-08 00:19:53,61
2017-11-08 00:19:58,58
2017-11-08 00:20:08,61
2017-11-08 00:20:13,62
2017-11-08 00:20:18,64
2017-11-08 00:20:23,70
2017-11-08 00:20:33,64
2017-11-08 00:20:38,60
2017-11-08 00:20:48,63
2017-11-08 00:20:53,70
2017-11-08 00:20:58,73
2017-11-08 00:21:03,68
2017-11-08 00:21:08,64
2017-11-08 00:21:13,63
2017-11-08 00:21:18,66
2017-11-08 00:21:23,69
2017-11-08 00:21:33,70
2017-11-08 00:21:48,69
2017-11-08 00:21:53,61
2017-11-08 00:21:58,60
2017-11-08 00:22:03,58
2017-11-08 00:22:13,56
2017-11-08 00:22:18,58
2017-11-08 00:22:23,59
2017-11-08 00:22:30,58
2017-11-08 00:22:35,57
2017-11-08 00:22:40,56
2017-11-08 00:22:45,57
2017-11-08 00:22:55,58
2017-11-08 00:23:00,59
2017-11-08 00:23:15,59
2017-11-08 00:23:30,59
2017-11-08 00:23:35,61
2017-11-08 00:23:40,62
2017-11-08 00:23:50,62
2017-11-08 00:24:05,60
2017-11-08 00:24:10,59
2017-11-08 00:24:15,58
2017-11-08 00:24:25,58
2017-11-08 00:24:35,59
2017-11-08 00:24:40,60
2017-11-08 00:24:45,58
2017-11-08 00:25:00,58
2017-11-08 00:25:05,60
2017-11-08 00:25:10,59
2017-11-08 00:25:15,60
2017-11-08 00:25:20,59
2017-11-08 00:25:25,59
2017-11-08 00:25:30,60
2017-11-08 00:25:35,59
2017-11-08 00:25:50,59
2017-11-08 00:25:52,59
2017-11-08 00:25:57,60
2017-11-08 00:26:02,59
2017-11-08 00:26:07,59
2017-11-08 00:26:12,59
2017-11-08 00:26:22,58
2017-11-08 00:26:37,59
2017-11-08 00:26:42,58
2017-11-08 00:26:47,57
2017-11-08 00:26:52,58
2017-11-08 00:27:02,59
2017-11-08 00:27:07,59
2017-11-08 00:27:12,60
2017-11-08 00:27:22,60
2017-11-08 00:27:37,61
2017-11-08 00:27:47,62
2017-11-08 00:27:52,61
2017-11-08 00:28:02,60
2017-11-08 00:28:17,60
2017-11-08 00:28:32,60
2017-11-08 00:28:47,59
2017-11-08 00:29:02,59
2017-11-08 00:29:07,60
2017-11-08 00:29:12,59
2017-11-08 00:29:27,61
2017-11-08 00:29:37,64
2017-11-08 00:29:42,63
2017-11-08 00:29:49,59
2017-11-08 00:29:54,60
2017-11-08 00:29:59,61
2017-11-08 00:30:04,61
2017-11-08 00:30:19,57
2017-11-08 00:30:24,56
2017-11-08 00:30:29,57
2017-11-08 00:30:34,58
2017-11-08 00:30:44,58
2017-11-08 00:30:49,60
2017-11-08 00:31:04,60
2017-11-08 00:31:14,61
2017-11-08 00:31:19,61
2017-11-08 00:31:34,61
2017-11-08 00:31:49,61
2017-11-08 00:31:54,61
2017-11-08 00:32:09,61
2017-11-08 00:32:24,60
2017-11-08 00:32:29,66
2017-11-08 00:32:34,65
2017-11-08 00:32:39,61
2017-11-08 00:32:44,58
2017-11-08 00:32:49,57
2017-11-08 00:32:54,58
2017-11-08 00:32:59,60
2017-11-08 00:33:04,61
2017-11-08 00:33:09,60
2017-11-08 00:33:16,60
2017-11-08 00:33:21,62
2017-11-08 00:33:36,62
2017-11-08 00:33:41,60
2017-11-08 00:33:51,61
2017-11-08 00:34:06,61
2017-11-08 00:34:11,62
2017-11-08 00:34:16,63
2017-11-08 00:34:31,62
2017-11-08 00:34:36,63
2017-11-08 00:34:46,62
2017-11-08 00:34:51,61
2017-11-08 00:35:06,61
2017-11-08 00:35:11,62
2017-11-08 00:35:16,63
2017-11-08 00:35:21,62
2017-11-08 00:35:36,62
2017-11-08 00:35:41,63
2017-11-08 00:35:51,62
2017-11-08 00:36:01,61
2017-11-08 00:36:06,63
2017-11-08 00:36:16,62
2017-11-08 00:36:21,62
2017-11-08 00:36:26,62
2017-11-08 00:36:31,65
2017-11-08 00:36:36,63
2017-11-08 00:36:41,59
2017-11-08 00:36:48,60
2017-11-08 00:36:53,61
